Date        West     East     DMI(=West-East)
1891:11:16:0 -0.275541 -0.414206 0.138664
1891:12:16:0 -0.113974 -0.401558 0.287584
1892:1:16:0 -0.160035 -0.10404 -0.055995
1892:2:16:0 -0.0115556 0.126735 -0.138291
1892:3:16:0 -0.175658 -0.14312 -0.0325383
1892:4:16:0 -0.233638 -0.118801 -0.114837
1892:5:16:0 -0.074197 -0.0151424 -0.0590547
1892:6:16:0 -0.0948888 0.177935 -0.272823
1892:7:16:0 -0.516843 -0.187409 -0.329434
1892:8:16:0 -0.672284 0.0602257 -0.73251
1892:9:16:0 -0.560894 0.217104 -0.777999
1892:10:16:0 -0.740728 -0.313192 -0.427537
1892:11:16:0 -0.693061 -0.520723 -0.172337
1892:12:16:0 -0.803066 -0.538736 -0.264331
1893:1:16:0 -0.758742 -0.506288 -0.252454
1893:2:16:0 -0.739282 -0.466481 -0.2728
1893:3:16:0 -0.364368 -0.124945 -0.239423
1893:4:16:0 -0.540534 -0.163473 -0.377061
1893:5:16:0 -0.555099 -0.262887 -0.292212
1893:6:16:0 -0.554215 -0.250959 -0.303256
1893:7:16:0 -0.360545 -0.12967 -0.230875
1893:8:16:0 -0.493463 -0.0505229 -0.44294
1893:9:16:0 -0.43599 -0.145584 -0.290406
1893:10:16:0 -0.517236 -0.119405 -0.397831
1893:11:16:0 -0.549179 -0.317786 -0.231393
1893:12:16:0 -0.472503 -0.34049 -0.132014
1894:1:16:0 -0.401365 -0.516863 0.115498
1894:2:16:0 -0.351468 -0.279758 -0.0717099
1894:3:16:0 -0.3799 -0.286122 -0.0937781
1894:4:16:0 -0.338062 -0.224651 -0.113411
1894:5:16:0 -0.457771 -0.466969 0.00919873
1894:6:16:0 -0.456634 -0.577546 0.120912
1894:7:16:0 -0.438196 -0.579009 0.140813
1894:8:16:0 -0.375281 -0.803287 0.428006
1894:9:16:0 -0.517982 -0.580031 0.0620496
1894:10:16:0 -0.483377 -0.533115 0.0497383
1894:11:16:0 -0.500812 -0.490841 -0.00997096
1894:12:16:0 -0.394206 -0.372341 -0.021865
1895:1:16:0 -0.412415 -0.410506 -0.0019086
1895:2:16:0 -0.268387 -0.39431 0.125924
1895:3:16:0 -0.267864 -0.321947 0.0540837
1895:4:16:0 -0.330828 -0.350656 0.0198276
1895:5:16:0 -0.330308 -0.398686 0.0683783
1895:6:16:0 -0.255058 -0.350354 0.0952962
1895:7:16:0 -0.394335 -0.302701 -0.0916343
1895:8:16:0 -0.0817863 -0.308747 0.226961
1895:9:16:0 -0.148424 -0.232148 0.0837235
1895:10:16:0 -0.0957856 -0.315729 0.219943
1895:11:16:0 -0.184158 0.0379273 -0.222085
1895:12:16:0 -0.25719 -0.118055 -0.139134
1896:1:16:0 -0.117519 0.07441 -0.191929
1896:2:16:0 -0.22495 0.16533 -0.390281
1896:3:16:0 -0.232829 0.155668 -0.388497
1896:4:16:0 -0.0639469 0.0199829 -0.0839297
1896:5:16:0 0.00402342 -0.00711172 0.0111351
1896:6:16:0 0.00814947 -0.0543922 0.0625417
1896:7:16:0 -0.0123621 -0.227539 0.215177
1896:8:16:0 -0.112155 -0.275953 0.163798
1896:9:16:0 -0.0354358 -0.405799 0.370364
1896:10:16:0 0.0588135 -0.610321 0.669134
1896:11:16:0 -0.126333 -0.424282 0.29795
1896:12:16:0 0.172082 -0.142374 0.314456
1897:1:16:0 0.0821352 0.0920895 -0.00995429
1897:2:16:0 0.112034 0.244877 -0.132843
1897:3:16:0 0.1219 0.238446 -0.116546
1897:4:16:0 0.0349526 0.0119788 0.0229738
1897:5:16:0 -0.0702453 -0.11126 0.0410143
1897:6:16:0 -0.0829997 -0.0472969 -0.0357027
1897:7:16:0 0.187113 0.11948 0.067633
1897:8:16:0 0.267976 0.195035 0.0729406
